Sampling times,Time(us),A-phase current,B-phase current,C-phase current,Neutral current,A-phase voltege,B-phase voltege,C-phase voltege
1,0,1098.6,1252.47,1034.757,1125.428,1806,2795,1762
2,244,1085.669,1263.549,1036.955,1125.428,1773,2788,1795
3,488,1075.548,1270.196,1040.252,1125.428,1740,2778,1828
4,732,1067.677,1275.181,1044.098,1125.428,1706,2767,1862
5,976,1061.493,1275.735,1050.693,1125.428,1676,2757,1890
6,1220,1055.87,1269.642,1060.035,1125.428,1650,2739,1924
7,1464,1051.373,1260.225,1073.773,1125.428,1623,2713,1960
8,1708,1047.437,1249.146,1089.709,1125.428,1596,2688,1998
9,1952,1042.377,1241.945,1102.898,1125.428,1570,2662,2036
10,2196,1038.441,1236.405,1111.69,1125.428,1548,2637,2073
11,2440,1035.068,1231.974,1119.383,1125.428,1531,2611,2104
12,2684,1032.257,1226.434,1127.626,1125.428,1518,2574,2139
13,2928,1027.197,1222.557,1136.968,1125.428,1512,2535,2170
14,3172,1018.201,1217.571,1151.256,1125.428,1508,2493,2200
15,3416,1006.956,1213.14,1166.093,1125.428,1509,2448,2231
16,3660,996.836,1211.478,1178.732,1125.428,1515,2402,2258
17,3904,989.527,1209.816,1187.525,1125.428,1525,2355,2284
18,4148,985.029,1205.384,1196.317,1125.428,1533,2304,2315
19,4392,984.467,1197.075,1203.461,1124.879,1544,2252,2338
20,4636,990.089,1184.888,1211.154,1125.428,1564,2196,2361
21,4880,1002.458,1169.378,1214.451,1125.428,1585,2137,2388
22,5124,1012.579,1156.637,1217.199,1125.428,1608,2076,2411
23,5368,1020.45,1146.666,1221.046,1125.428,1630,2020,2436
24,5612,1024.385,1138.911,1223.793,1125.428,1653,1966,2456
25,5856,1030.57,1128.386,1227.64,1125.428,1677,1915,2469
26,6100,1036.755,1119.523,1231.487,1125.428,1706,1867,2480
27,6344,1041.252,1107.89,1236.982,1125.428,1742,1820,2485
28,6588,1046.312,1091.826,1248.522,1125.428,1779,1772,2489
29,6832,1050.248,1077.423,1259.512,1125.428,1818,1728,2488
30,7076,1053.059,1068.006,1267.755,1125.978,1860,1690,2485
31,7320,1055.308,1060.251,1272.701,1125.428,1900,1648,2482
32,7564,1060.368,1053.603,1274.899,1125.978,1941,1608,2476
33,7808,1071.051,1046.402,1272.701,1126.527,1984,1573,2468
34,8052,1084.544,1040.863,1265.008,1126.527,2031,1542,2455
35,8296,1100.287,1037.539,1252.369,1126.527,2079,1507,2441
36,8540,1114.342,1033.661,1243.027,1126.527,2127,1474,2427
37,8784,1124.463,1029.23,1236.982,1126.527,2174,1444,2412
38,9028,1132.896,1026.46,1230.937,1126.527,2216,1417,2397
39,9272,1142.454,1024.244,1224.343,1126.527,2256,1400,2379
40,9516,1150.887,1019.813,1218.848,1125.978,2297,1389,2356
41,9760,1164.943,1010.95,1213.902,1125.978,2338,1380,2330
42,10004,1179.561,1000.425,1209.506,1125.978,2376,1381,2300
43,10248,1192.493,989.9,1206.758,1125.978,2410,1388,2267
44,10492,1202.613,982.698,1204.01,1125.978,2443,1396,2234
45,10736,1209.922,978.267,1200.713,1125.978,2474,1405,2201
46,10980,1216.669,978.821,1195.218,1126.527,2504,1419,2172
47,11224,1222.853,983.806,1183.678,1126.527,2532,1436,2140
48,11468,1226.226,994.331,1168.841,1125.978,2559,1462,2102
49,11712,1230.162,1004.856,1152.904,1125.428,2586,1489,2065
50,11956,1236.347,1012.611,1140.265,1125.978,2612,1513,2025
51,12200,1239.72,1017.043,1132.572,1125.978,2635,1537,1992
52,12444,1243.656,1022.582,1123.78,1125.978,2652,1566,1956
53,12688,1245.905,1027.014,1116.086,1125.978,2662,1603,1924
54,12932,1252.089,1032,1105.645,1125.978,2671,1642,1894
55,13176,1262.209,1036.985,1090.808,1125.978,2674,1685,1858
56,13420,1272.892,1040.309,1076.52,1125.978,2672,1730,1832
57,13664,1283.012,1041.971,1063.332,1125.428,2663,1776,1805
58,13908,1289.759,1044.74,1055.089,1125.978,2656,1825,1775
59,14152,1293.694,1048.064,1047.945,1125.978,2647,1874,1751
60,14396,1293.694,1057.481,1039.153,1126.527,2633,1925,1721
61,14640,1286.385,1070.222,1032.558,1125.978,2616,1984,1700
62,14884,1275.703,1085.178,1028.162,1125.978,2593,2042,1674
63,15128,1264.458,1098.473,1025.964,1125.978,2570,2102,1650
64,15372,1257.711,1108.444,1023.216,1125.978,2549,2160,1630
65,15616,1252.089,1115.645,1020.469,1125.428,2527,2211,1606
66,15860,1246.467,1125.616,1016.073,1125.428,2503,2261,1594
67,16104,1241.407,1133.925,1012.775,1125.428,2475,2308,1584
68,16348,1235.784,1146.666,1005.632,1125.428,2438,2358,1576
69,16592,1231.849,1162.731,994.092,1125.978,2400,2405,1578
70,16836,1227.913,1176.579,984.2,1125.978,2361,2447,1575
71,17080,1225.664,1187.104,975.957,1125.978,2321,2488,1579
72,17324,1222.853,1193.751,971.012,1125.428,2276,2529,1584
73,17568,1217.231,1201.507,967.714,1125.428,2236,2566,1588
74,17812,1207.111,1207.6,972.111,1125.428,2194,2602,1597
75,18056,1191.368,1213.14,980.353,1124.879,2147,2637,1609
76,18300,1175.626,1216.463,991.894,1124.879,2097,2670,1621
77,18544,1163.257,1220.895,1002.335,1125.428,2049,2703,1641
78,18788,1152.574,1224.772,1006.731,1124.879,2005,2734,1652
79,19032,1144.141,1226.988,1013.875,1124.879,1960,2759,1667
80,19276,1134.583,1229.758,1020.469,1124.879,1920,2776,1689
81,19520,1124.463,1234.743,1025.415,1124.879,1880,2787,1709
82,19764,1111.531,1244.16,1030.91,1125.428,1838,2795,1737
83,20008,1096.913,1254.685,1034.757,1125.428,1802,2794,1767
84,20252,1084.544,1265.21,1036.955,1125.428,1770,2788,1798
85,20496,1074.424,1272.412,1039.702,1125.428,1733,2777,1833
86,20740,1067.115,1276.289,1043.549,1125.428,1702,2769,1865
87,20984,1060.368,1275.735,1050.693,1125.428,1673,2755,1893
88,21228,1054.746,1270.196,1061.683,1125.428,1645,2734,1928
89,21472,1050.81,1259.671,1076.52,1125.428,1618,2710,1964
90,21716,1045.75,1248.592,1091.358,1125.428,1592,2685,2002
91,21960,1041.815,1241.391,1104.546,1125.428,1568,2660,2041
92,22204,1037.879,1236.959,1112.789,1125.428,1545,2634,2079
93,22448,1034.506,1231.42,1120.482,1125.428,1526,2605,2110
94,22692,1031.694,1226.434,1128.725,1125.428,1517,2569,2143
95,22936,1026.634,1222.003,1138.617,1125.428,1510,2530,2176
96,23180,1015.39,1216.463,1153.454,1125.428,1508,2488,2204
97,23424,1005.832,1213.14,1168.291,1125.428,1509,2442,2233
98,23668,995.149,1211.478,1180.381,1125.428,1515,2398,2263
99,23912,988.403,1208.708,1189.173,1125.428,1525,2349,2289
100,24156,985.029,1204.276,1197.416,1125.428,1533,2296,2317
101,24400,985.591,1196.521,1205.109,1125.428,1549,2245,2342
102,24644,991.776,1182.119,1212.253,1125.428,1566,2189,2365
103,24888,1003.021,1167.716,1216.1,1125.428,1586,2128,2392
104,25132,1013.141,1154.975,1218.298,1125.428,1613,2069,2414
105,25376,1019.888,1146.112,1221.595,1125.428,1634,2011,2439
106,25620,1026.072,1137.249,1224.343,1125.428,1655,1959,2458
107,25864,1032.257,1127.832,1227.64,1125.428,1680,1910,2471
108,26108,1037.317,1118.969,1231.487,1125.428,1712,1861,2482
109,26352,1042.377,1106.228,1239.18,1125.428,1745,1810,2486
110,26596,1047.437,1090.164,1250.171,1125.428,1785,1768,2489
111,26840,1050.81,1076.869,1260.611,1125.428,1824,1724,2488
112,27084,1053.059,1066.898,1268.854,1125.978,1864,1681,2485
113,27328,1055.308,1059.697,1273.8,1125.978,1906,1641,2481
114,27572,1060.93,1053.049,1276.548,1126.527,1948,1603,2475
115,27816,1072.175,1045.848,1271.602,1125.978,1989,1569,2466
116,28060,1086.231,1040.863,1263.359,1126.527,2037,1536,2453
117,28304,1101.973,1037.539,1251.27,1126.527,2087,1502,2438
118,28548,1115.467,1033.661,1241.928,1126.527,2133,1469,2425
119,28792,1125.025,1029.23,1235.333,1125.978,2178,1437,2411
120,29036,1133.458,1027.014,1230.388,1126.527,2222,1414,2395
121,29280,1143.016,1024.798,1223.793,1126.527,2261,1399,2377
122,29524,1152.574,1020.367,1217.199,1126.527,2303,1386,2352
123,29768,1166.63,1010.95,1212.803,1126.527,2343,1380,2326
124,30012,1181.248,999.871,1208.407,1125.978,2380,1384,2297
125,30256,1193.055,989.346,1206.208,1125.978,2414,1388,2263
126,30500,1202.613,983.806,1203.461,1125.978,2448,1396,2230
127,30744,1210.484,980.483,1199.614,1126.527,2479,1408,2199
128,30988,1216.669,979.929,1193.02,1125.978,2508,1419,2168
129,31232,1222.853,986.576,1181.48,1126.527,2536,1437,2135
130,31476,1226.226,997.101,1167.192,1126.527,2564,1466,2098
131,31720,1230.162,1007.072,1151.256,1125.978,2590,1493,2058
132,31964,1235.222,1014.827,1139.716,1125.978,2615,1517,2022
133,32208,1238.596,1018.705,1130.923,1125.428,2636,1541,1987
134,32452,1242.531,1023.69,1123.23,1125.978,2654,1571,1952
135,32696,1244.78,1028.676,1116.086,1125.978,2665,1606,1921
136,32940,1249.84,1034.769,1103.997,1125.978,2671,1649,1888
137,33184,1261.647,1038.093,1089.16,1125.978,2672,1691,1857
138,33428,1272.892,1041.971,1074.872,1125.978,2671,1734,1828
139,33672,1282.45,1043.632,1063.332,1125.978,2663,1783,1797
140,33916,1289.196,1045.294,1055.638,1126.527,2654,1833,1773
141,34160,1292.57,1050.28,1045.747,1125.978,2647,1881,1745
142,34404,1291.445,1059.697,1039.153,1126.527,2632,1932,1720
143,34648,1283.574,1072.991,1032.558,1125.978,2613,1991,1697
144,34892,1272.329,1088.502,1029.261,1125.978,2590,2050,1673
145,35136,1262.771,1100.689,1025.964,1125.978,2568,2110,1648
146,35380,1255.462,1109.552,1023.216,1125.428,2545,2168,1623
147,35624,1249.84,1117.861,1021.568,1125.978,2523,2219,1604
148,35868,1244.78,1126.724,1016.622,1125.428,2499,2267,1591
149,36112,1239.158,1135.033,1013.325,1125.428,2468,2315,1584
150,36356,1234.098,1148.328,1006.181,1125.978,2432,2365,1578
151,36600,1229.038,1164.392,995.191,1125.978,2394,2411,1574
152,36844,1225.664,1176.579,984.2,1125.428,2355,2452,1576
153,37088,1224.54,1185.996,976.507,1125.428,2313,2495,1581
154,37332,1221.166,1193.751,972.111,1125.428,2272,2533,1582
155,37576,1214.42,1200.953,971.012,1125.428,2231,2572,1588
156,37820,1204.299,1207.046,974.309,1125.428,2187,2607,1600
157,38064,1189.119,1211.478,983.651,1124.879,2140,2640,1612
158,38308,1173.377,1214.801,995.191,1124.329,2091,2675,1627
159,38552,1161.008,1219.233,1003.983,1124.879,2044,2707,1641
160,38796,1151.45,1223.665,1010.577,1125.428,1998,2738,1655
161,39040,1143.578,1225.88,1016.073,1125.428,1955,2762,1670
162,39284,1134.021,1228.65,1022.117,1124.879,1915,2779,1688
163,39528,1123.9,1233.082,1028.162,1124.879,1874,2789,1714
164,39772,1109.845,1243.607,1032.009,1125.428,1832,2795,1741
165,40016,1096.351,1254.685,1036.405,1125.428,1797,2794,1770
166,40260,1084.544,1263.549,1038.054,1125.428,1764,2786,1805
167,40504,1074.424,1270.196,1041.351,1125.428,1729,2776,1837
168,40748,1067.115,1274.074,1045.198,1125.428,1698,2766,1868
169,40992,1060.93,1274.074,1051.792,1125.428,1670,2752,1898
170,41236,1055.87,1266.872,1063.881,1125.428,1643,2732,1932
171,41480,1051.935,1255.793,1078.169,1125.428,1614,2707,1972
172,41724,1048.561,1244.714,1093.006,1125.428,1588,2681,2009
173,41968,1042.939,1238.621,1105.645,1125.428,1565,2656,2048
174,42212,1039.566,1234.189,1112.789,1125.428,1543,2632,2081
175,42456,1035.63,1229.204,1121.582,1125.428,1526,2601,2113
176,42700,1033.943,1224.772,1128.176,1125.428,1518,2564,2148
177,42944,1027.197,1219.233,1138.617,1124.879,1511,2525,2178
178,43188,1017.639,1215.355,1154.553,1125.428,1508,2482,2208
179,43432,1005.832,1212.032,1168.291,1125.428,1509,2437,2238
180,43676,996.836,1209.816,1179.831,1125.428,1518,2391,2264
181,43920,990.089,1208.154,1188.624,1125.428,1525,2341,2293
182,44164,987.84,1203.169,1196.317,1125.428,1534,2291,2320
183,44408,987.84,1194.305,1204.01,1125.428,1549,2237,2345
184,44652,995.712,1179.903,1210.055,1125.428,1568,2179,2369
185,44896,1006.956,1166.054,1213.902,1125.428,1590,2120,2392
186,45140,1017.639,1153.313,1216.649,1125.428,1614,2060,2418
187,45384,1023.823,1145.004,1218.848,1125.428,1638,2004,2442
188,45628,1028.321,1135.587,1221.595,1125.428,1659,1952,2460
189,45872,1033.943,1126.724,1225.991,1125.428,1683,1903,2474
190,46116,1039.566,1118.415,1229.289,1125.428,1714,1854,2482
191,46360,1045.75,1104.012,1237.531,1125.428,1753,1807,2488
192,46604,1050.248,1088.502,1249.071,1125.428,1789,1760,2489
193,46848,1053.621,1075.761,1258.963,1125.428,1827,1718,2488
194,47092,1055.308,1066.898,1266.656,1125.978,1872,1675,2484
195,47336,1057.557,1060.251,1270.503,1125.428,1912,1636,2480
196,47580,1063.742,1052.496,1272.152,1125.428,1951,1599,2475
197,47824,1075.548,1046.402,1267.755,1125.978,1996,1564,2464
198,48068,1090.166,1041.971,1258.963,1126.527,2046,1532,2452
199,48312,1105.347,1038.093,1246.873,1126.527,2093,1498,2438
200,48556,1118.278,1033.661,1239.18,1126.527,2139,1465,2421
201,48800,1127.274,1030.338,1233.685,1126.527,2185,1436,2410
202,49044,1136.269,1027.568,1226.541,1126.527,2228,1411,2392
203,49288,1144.703,1025.352,1221.046,1126.527,2267,1395,2373
204,49532,1154.261,1020.367,1216.1,1126.527,2309,1385,2349
205,49776,1168.879,1009.842,1210.605,1125.978,2350,1382,2321
206,50020,1182.372,998.763,1207.857,1125.978,2386,1381,2292
207,50264,1194.742,989.9,1205.659,1126.527,2418,1390,2258
208,50508,1203.175,983.252,1202.911,1125.978,2450,1399,2225
209,50752,1209.922,980.483,1198.515,1125.978,2484,1409,2195
210,50996,1217.231,981.591,1191.371,1126.527,2512,1422,2163
211,51240,1222.853,988.238,1179.282,1126.527,2539,1443,2131
212,51484,1226.789,998.763,1163.895,1125.978,2566,1470,2093
213,51728,1231.287,1009.288,1149.058,1125.978,2593,1496,2054
214,51972,1235.784,1015.935,1137.518,1125.978,2618,1521,2016
215,52216,1239.158,1019.813,1130.374,1125.978,2640,1545,1982
216,52460,1243.093,1024.798,1121.032,1125.978,2656,1575,1949
217,52704,1245.905,1029.23,1113.888,1125.978,2666,1613,1915
218,52948,1252.651,1034.769,1102.898,1126.527,2672,1655,1884
219,53192,1262.771,1039.201,1087.511,1125.978,2673,1698,1853
220,53436,1274.016,1042.524,1073.223,1125.978,2670,1741,1824
221,53680,1283.574,1043.632,1061.683,1125.978,2662,1791,1796
222,53924,1289.759,1045.294,1053.99,1125.978,2653,1838,1767
223,54168,1292.57,1051.942,1045.747,1126.527,2644,1886,1743
224,54412,1291.445,1061.359,1037.504,1126.527,2629,1942,1717
225,54656,1282.45,1076.315,1032.009,1126.527,2610,2000,1694
226,54900,1270.643,1089.61,1027.613,1125.428,2587,2058,1670
227,55144,1261.647,1101.243,1025.415,1125.428,2566,2118,1643
228,55388,1254.9,1110.106,1022.667,1125.428,2543,2175,1623
229,55632,1248.716,1120.077,1019.37,1125.428,2520,2225,1601
230,55876,1243.656,1128.94,1015.523,1125.428,2496,2274,1592
231,56120,1239.158,1137.249,1012.775,1125.978,2465,2322,1582
232,56364,1233.535,1150.544,1004.533,1125.978,2428,2371,1576
233,56608,1227.351,1167.716,992.993,1125.428,2389,2416,1576
234,56852,1225.664,1178.795,983.101,1125.428,2350,2458,1575
235,57096,1223.978,1188.212,975.957,1125.428,2308,2499,1581
236,57340,1220.042,1195.413,970.462,1125.428,2266,2540,1584
237,57584,1214.42,1202.615,969.913,1125.428,2224,2576,1591
238,57828,1202.613,1208.708,974.309,1125.428,2181,2611,1600
239,58072,1186.308,1213.14,984.75,1124.879,2134,2647,1614
240,58316,1171.69,1216.463,996.29,1124.879,2085,2678,1629
241,58560,1158.759,1220.895,1003.983,1124.879,2037,2711,1642
242,58804,1150.887,1224.772,1010.577,1125.428,1992,2742,1657
243,59048,1140.767,1226.988,1016.622,1124.879,1951,2763,1673
244,59292,1131.772,1230.312,1023.766,1125.428,1908,2780,1691
245,59536,1121.651,1235.297,1028.162,1124.879,1868,2792,1719
246,59780,1107.596,1246.376,1032.558,1125.428,1829,2795,1743
247,60024,1092.978,1258.009,1036.955,1125.428,1792,2792,1775
248,60268,1081.733,1266.318,1038.603,1125.428,1759,2785,1808
249,60512,1072.737,1272.412,1041.351,1125.428,1725,2773,1841
250,60756,1065.428,1275.181,1045.747,1125.428,1695,2764,1872
251,61000,1059.244,1273.52,1053.44,1125.428,1665,2750,1900
252,61244,1054.184,1266.318,1066.079,1125.428,1638,2728,1937
253,61488,1050.248,1255.793,1080.367,1125.428,1612,2704,1976
254,61732,1045.75,1245.268,1095.754,1125.428,1586,2679,2013
255,61976,1041.252,1239.175,1106.744,1125.428,1561,2652,2052
256,62220,1037.879,1234.743,1113.888,1125.428,1540,2628,2085
257,62464,1033.381,1229.204,1122.681,1125.428,1523,2597,2118
258,62708,1031.132,1225.326,1130.374,1125.428,1515,2558,2152
259,62952,1024.385,1219.787,1141.914,1125.428,1510,2518,2182
260,63196,1013.703,1215.355,1156.751,1125.428,1509,2476,2213
261,63440,1003.583,1212.586,1171.039,1125.428,1511,2431,2241
262,63684,994.025,1210.924,1182.579,1125.428,1519,2384,2270
263,63928,987.278,1209.262,1190.272,1125.428,1528,2335,2297
264,64172,985.029,1203.169,1198.515,1125.428,1536,2283,2323
265,64416,987.278,1192.644,1206.758,1125.428,1552,2230,2348
266,64660,995.149,1178.795,1212.253,1125.428,1572,2173,2372
267,64904,1006.956,1164.392,1215.55,1125.428,1594,2112,2395
268,65148,1016.514,1152.206,1218.298,1125.428,1617,2054,2422
269,65392,1022.699,1143.342,1221.595,1125.428,1641,1997,2443
270,65636,1027.759,1135.033,1224.343,1125.428,1663,1945,2462
271,65880,1034.506,1125.062,1228.189,1125.428,1688,1896,2475
272,66124,1040.128,1115.091,1231.487,1125.428,1720,1848,2483
273,66368,1044.626,1102.351,1240.279,1125.428,1757,1799,2487
274,66612,1050.248,1086.286,1252.369,1125.978,1794,1755,2489
275,66856,1051.935,1074.099,1261.161,1125.428,1834,1713,2487
276,67100,1054.184,1065.79,1268.854,1125.978,1875,1671,2483
277,67344,1056.995,1058.589,1272.701,1125.428,1917,1632,2480
278,67588,1064.866,1051.388,1273.8,1125.978,1957,1596,2473
279,67832,1076.673,1044.74,1268.305,1125.978,2001,1560,2465
280,68076,1091.291,1040.863,1258.413,1126.527,2050,1529,2449
281,68320,1107.033,1036.431,1247.423,1126.527,2100,1492,2435
282,68564,1118.84,1032.553,1238.081,1125.978,2147,1460,2420
283,68808,1127.836,1029.23,1233.685,1126.527,2191,1432,2406
284,69052,1137.394,1026.46,1225.991,1125.978,2233,1408,2391
285,69296,1146.39,1023.69,1220.496,1126.527,2272,1395,2369
286,69540,1157.072,1018.151,1215.001,1126.527,2315,1384,2347
287,69784,1171.69,1008.18,1210.605,1126.527,2354,1380,2317
288,70028,1184.621,996.547,1207.308,1125.978,2390,1384,2286
289,70272,1196.428,988.792,1205.659,1126.527,2424,1391,2254
290,70516,1204.862,982.144,1201.812,1125.978,2456,1400,2220
291,70760,1212.733,978.821,1197.416,1125.978,2488,1409,2190
292,71004,1219.48,981.591,1189.173,1126.527,2516,1423,2159
293,71248,1224.54,988.792,1177.633,1126.527,2543,1447,2124
294,71492,1227.913,999.317,1161.697,1125.978,2572,1474,2087
295,71736,1232.973,1009.288,1147.409,1125.978,2597,1497,2049
296,71980,1236.909,1015.381,1136.968,1125.978,2622,1525,2009
297,72224,1240.844,1019.813,1128.725,1125.978,2643,1551,1977
298,72468,1244.218,1025.352,1121.032,1126.527,2658,1579,1943
299,72712,1247.029,1030.338,1112.24,1125.978,2667,1617,1911
300,72956,1253.776,1034.215,1100.15,1125.428,2672,1661,1880
301,73200,1265.583,1038.647,1084.763,1125.978,2673,1702,1848
302,73444,1276.827,1041.971,1071.025,1125.978,2669,1749,1820
303,73688,1285.261,1043.078,1060.584,1125.978,2660,1795,1793
304,73932,1291.445,1045.294,1052.891,1125.978,2652,1843,1763
305,74176,1293.694,1051.942,1044.098,1125.978,2642,1894,1738
306,74420,1290.883,1062.467,1036.405,1125.978,2626,1949,1714
307,74664,1281.325,1076.869,1030.36,1125.978,2606,2006,1690
308,74908,1270.081,1090.718,1028.162,1125.978,2584,2067,1665
309,75152,1261.085,1102.904,1024.865,1125.978,2562,2126,1640
310,75396,1255.462,1111.214,1022.667,1125.978,2541,2181,1617
311,75640,1248.716,1120.631,1019.37,1125.978,2518,2232,1602
312,75884,1243.093,1130.048,1014.974,1125.428,2491,2280,1588
313,76128,1238.033,1138.911,1011.676,1125.978,2459,2328,1582
314,76372,1233.535,1153.313,1001.785,1125.978,2423,2377,1576
315,76616,1228.475,1168.824,991.894,1125.978,2385,2422,1573
316,76860,1225.664,1179.903,982.002,1125.428,2344,2463,1578
317,77104,1223.978,1188.212,974.858,1125.428,2302,2504,1580
318,77348,1220.042,1195.967,971.012,1125.428,2260,2544,1584
319,77592,1212.733,1203.722,969.913,1125.428,2220,2582,1594
320,77836,1200.364,1208.708,975.408,1124.879,2176,2616,1600
321,78080,1184.621,1213.693,986.948,1125.428,2127,2650,1617
322,78324,1169.441,1217.017,997.389,1124.879,2079,2684,1631
323,78568,1158.196,1221.449,1006.181,1125.428,2031,2716,1643
324,78812,1149.763,1224.772,1011.127,1125.428,1985,2745,1660
325,79056,1140.205,1227.542,1017.172,1124.879,1945,2766,1673
326,79300,1131.772,1230.866,1024.316,1125.428,1904,2782,1696
327,79544,1119.965,1235.851,1029.261,1124.879,1863,2792,1720
328,79788,1105.347,1246.93,1033.108,1125.428,1824,2794,1748
329,80032,1091.853,1258.563,1036.405,1125.428,1788,2791,1782
